user_id,movie_id,comment
0,78,The most bold experience.
user_id,movie_id,comment
0,81,Flawless compelling picture.
user_id,movie_id,comment
1,94,The most magical experience.
user_id,movie_id,comment
1,62,Creative beautiful picture.
user_id,movie_id,comment
2,63,A smooth funny story
user_id,movie_id,comment
2,13,Creative compelling picture.
user_id,movie_id,comment
4,0,"A colorful, vibrant riveting picture."
user_id,movie_id,comment
4,10,A unmissiable passionate epic.
user_id,movie_id,comment
4,9,An unforgettable magical epic.
user_id,movie_id,comment
4,32,very breathtaking experience.
user_id,movie_id,comment
4,30,What a memorable passionate story
user_id,movie_id,comment
5,65,The most bold visual.
user_id,movie_id,comment
5,61,The most soulful inspiring experience.
user_id,movie_id,comment
5,55,"A colorful, vibrant riveting flick."
user_id,movie_id,comment
6,69,An unforgettable awesome experience.
user_id,movie_id,comment
6,27,The most stunning time.
user_id,movie_id,comment
6,9,A surprisingly vibrant riveting flick.
user_id,movie_id,comment
9,65,Absolutely the most riveting experience.
user_id,movie_id,comment
9,55,The most soulful brilliant journey
user_id,movie_id,comment
9,7,very compelling story
user_id,movie_id,comment
10,7,What a memorable awesome visual.
user_id,movie_id,comment
10,52,What a memorable beautiful flick.
user_id,movie_id,comment
10,85,A smooth entertaining journey
user_id,movie_id,comment
10,82,Absolutely compelling picture.
user_id,movie_id,comment
11,61,Absolutely breathtaking epic.
user_id,movie_id,comment
11,39,Flawless inspiring visual.
user_id,movie_id,comment
11,92,A unmissiable compelling story
user_id,movie_id,comment
11,91,very amazing time.
user_id,movie_id,comment
11,51,A smooth brilliant epic.
user_id,movie_id,comment
12,71,Innovative magical experience.
user_id,movie_id,comment
12,36,Innovative dazzling epic.
user_id,movie_id,comment
14,83,Creative inspiring story
user_id,movie_id,comment
14,96,A nice dazzling epic.
user_id,movie_id,comment
14,94,"A colorful, vibrant thrilling epic."
user_id,movie_id,comment
14,23,The greatest entertaining journey
user_id,movie_id,comment
14,16,"A colorful, vibrant riveting flick."
user_id,movie_id,comment
15,75,very brilliant visual.
user_id,movie_id,comment
15,22,An unforgettable passionate story
user_id,movie_id,comment
15,45,An unforgettable emotional picture.
user_id,movie_id,comment
15,56,A surprisingly vibrant beautiful journey
user_id,movie_id,comment
15,88,The most funny flick.
user_id,movie_id,comment
16,89,Such a fun entertaining experience.
user_id,movie_id,comment
16,14,A clever stunning visual.
user_id,movie_id,comment
17,43,An unforgettable riveting journey
user_id,movie_id,comment
17,8,"A colorful, vibrant compelling visual."
user_id,movie_id,comment
17,95,The greatest riveting epic.
user_id,movie_id,comment
17,71,Innovative funny time.
user_id,movie_id,comment
19,63,Absolutely the most emotional epic.
user_id,movie_id,comment
19,29,Innovative awesome time.
user_id,movie_id,comment
20,30,Absolutely the most funny story
user_id,movie_id,comment
20,97,The most thrilling visual.
user_id,movie_id,comment
21,97,The greatest breathtaking journey
user_id,movie_id,comment
21,16,An unforgettable magical story
user_id,movie_id,comment
21,90,The most riveting picture.
user_id,movie_id,comment
21,2,Creative amazing picture.
user_id,movie_id,comment
22,73,A smooth stunning flick.
user_id,movie_id,comment
22,64,A smooth amazing time.
user_id,movie_id,comment
23,60,A good magical visual.
user_id,movie_id,comment
23,74,An unforgettable entertaining journey
user_id,movie_id,comment
23,21,Creative funny journey
user_id,movie_id,comment
24,44,A unmissiable magical picture.
user_id,movie_id,comment
24,10,Flawless compelling visual.
user_id,movie_id,comment
24,38,The greatest entertaining flick.
user_id,movie_id,comment
25,87,An unforgettable compelling visual.
user_id,movie_id,comment
26,73,Innovative brilliant experience.
user_id,movie_id,comment
26,72,What a memorable brilliant journey
user_id,movie_id,comment
26,26,The most magical story
user_id,movie_id,comment
26,47,very emotional time.
user_id,movie_id,comment
26,88,A nice passionate picture.
user_id,movie_id,comment
27,24,The most soulful awesome time.
user_id,movie_id,comment
27,2,A good breathtaking experience.
user_id,movie_id,comment
27,32,Flawless emotional journey
user_id,movie_id,comment
27,74,A nice emotional time.
user_id,movie_id,comment
28,23,"A colorful, vibrant funny story"
user_id,movie_id,comment
28,4,A good bold picture.
user_id,movie_id,comment
28,11,A unmissiable magical journey
user_id,movie_id,comment
28,0,A clever beautiful visual.
user_id,movie_id,comment
28,76,Flawless funny flick.
user_id,movie_id,comment
29,45,The most inspiring picture.
user_id,movie_id,comment
30,43,A clever passionate picture.
user_id,movie_id,comment
31,88,The most soulful brilliant picture.
user_id,movie_id,comment
31,90,An unforgettable stunning journey
user_id,movie_id,comment
31,20,Such a fun thrilling time.
user_id,movie_id,comment
31,42,"A colorful, vibrant emotional picture."
user_id,movie_id,comment
31,5,A good breathtaking time.
user_id,movie_id,comment
32,9,Innovative bold visual.
user_id,movie_id,comment
32,3,"A colorful, vibrant emotional flick."
user_id,movie_id,comment
33,15,Absolutely dazzling picture.
user_id,movie_id,comment
33,72,A nice entertaining journey
user_id,movie_id,comment
33,40,A clever inspiring epic.
user_id,movie_id,comment
34,20,A surprisingly vibrant compelling time.
user_id,movie_id,comment
35,83,Flawless funny flick.
user_id,movie_id,comment
36,68,"A colorful, vibrant amazing time."
user_id,movie_id,comment
37,52,Absolutely the most funny journey
user_id,movie_id,comment
37,99,A nice magical epic.
user_id,movie_id,comment
37,3,A surprisingly vibrant breathtaking picture.
user_id,movie_id,comment
37,47,A good passionate story
user_id,movie_id,comment
37,11,The most thrilling picture.
user_id,movie_id,comment
38,56,An unforgettable awesome epic.
user_id,movie_id,comment
38,9,A good inspiring time.
user_id,movie_id,comment
38,41,"A colorful, vibrant bold epic."
user_id,movie_id,comment
38,72,Absolutely breathtaking story
user_id,movie_id,comment
39,27,The most soulful compelling story
user_id,movie_id,comment
39,64,Innovative thrilling epic.
user_id,movie_id,comment
39,93,Innovative bold time.
user_id,movie_id,comment
39,26,A nice amazing picture.
user_id,movie_id,comment
40,99,A surprisingly vibrant breathtaking experience.
user_id,movie_id,comment
40,12,A good amazing flick.
user_id,movie_id,comment
40,69,A surprisingly vibrant riveting experience.
user_id,movie_id,comment
40,82,A unmissiable magical picture.
user_id,movie_id,comment
41,70,A unmissiable entertaining experience.
user_id,movie_id,comment
41,51,very amazing epic.
user_id,movie_id,comment
41,94,A unmissiable compelling story
user_id,movie_id,comment
42,40,A nice emotional time.
user_id,movie_id,comment
43,46,A smooth awesome visual.
user_id,movie_id,comment
43,69,The greatest emotional epic.
user_id,movie_id,comment
43,63,Absolutely the most dazzling flick.
user_id,movie_id,comment
43,50,Absolutely beautiful story
user_id,movie_id,comment
44,59,Creative thrilling experience.
user_id,movie_id,comment
45,25,A nice thrilling flick.
user_id,movie_id,comment
45,40,An unforgettable breathtaking journey
user_id,movie_id,comment
46,17,Absolutely magical time.
user_id,movie_id,comment
46,0,What a memorable awesome flick.
user_id,movie_id,comment
47,31,An unforgettable inspiring story
user_id,movie_id,comment
47,3,Absolutely the most thrilling experience.
user_id,movie_id,comment
47,93,What a memorable entertaining story
user_id,movie_id,comment
47,16,Innovative bold experience.
user_id,movie_id,comment
47,77,Such a fun inspiring visual.
user_id,movie_id,comment
48,16,A surprisingly vibrant awesome time.
user_id,movie_id,comment
48,26,Flawless awesome picture.
user_id,movie_id,comment
49,43,A good beautiful epic.
user_id,movie_id,comment
49,56,Creative stunning flick.
user_id,movie_id,comment
49,6,Such a fun entertaining experience.
user_id,movie_id,comment
49,33,The most dazzling visual.
user_id,movie_id,comment
49,21,Absolutely beautiful story
user_id,movie_id,comment
50,11,A surprisingly vibrant brilliant picture.
user_id,movie_id,comment
50,32,A smooth thrilling epic.
user_id,movie_id,comment
50,93,Such a fun emotional visual.
user_id,movie_id,comment
50,73,Innovative stunning journey
user_id,movie_id,comment
50,62,very compelling story
user_id,movie_id,comment
51,20,Absolutely bold visual.
user_id,movie_id,comment
51,17,Absolutely the most riveting flick.
user_id,movie_id,comment
52,67,Innovative riveting story
user_id,movie_id,comment
52,89,The most soulful stunning flick.
user_id,movie_id,comment
52,22,A clever thrilling epic.
user_id,movie_id,comment
52,40,A good funny flick.
user_id,movie_id,comment
52,86,"A colorful, vibrant emotional flick."
user_id,movie_id,comment
54,91,Creative inspiring time.
user_id,movie_id,comment
54,33,The greatest awesome story
user_id,movie_id,comment
54,98,very passionate story
user_id,movie_id,comment
54,27,The greatest funny experience.
user_id,movie_id,comment
55,8,A unmissiable stunning visual.
user_id,movie_id,comment
55,63,A nice breathtaking visual.
user_id,movie_id,comment
57,36,What a memorable funny story
user_id,movie_id,comment
57,85,A nice emotional time.
user_id,movie_id,comment
57,64,A smooth breathtaking epic.
user_id,movie_id,comment
57,7,A clever passionate picture.
user_id,movie_id,comment
57,59,A unmissiable breathtaking picture.
user_id,movie_id,comment
58,63,Creative inspiring flick.
user_id,movie_id,comment
58,19,A unmissiable awesome journey
user_id,movie_id,comment
59,96,Absolutely magical flick.
user_id,movie_id,comment
59,2,An unforgettable riveting experience.
user_id,movie_id,comment
60,35,What a memorable funny visual.
user_id,movie_id,comment
60,72,The most soulful brilliant time.
user_id,movie_id,comment
60,45,The most soulful breathtaking flick.
user_id,movie_id,comment
60,87,A good riveting time.
user_id,movie_id,comment
61,1,very funny epic.
user_id,movie_id,comment
61,23,Such a fun bold picture.
user_id,movie_id,comment
61,84,Absolutely magical experience.
user_id,movie_id,comment
61,85,A nice compelling experience.
user_id,movie_id,comment
61,38,Creative inspiring visual.
user_id,movie_id,comment
62,23,Such a fun brilliant visual.
user_id,movie_id,comment
62,13,An unforgettable inspiring visual.
user_id,movie_id,comment
64,74,Innovative awesome story
user_id,movie_id,comment
64,44,A smooth stunning epic.
user_id,movie_id,comment
64,39,very emotional flick.
user_id,movie_id,comment
64,1,Such a fun awesome epic.
user_id,movie_id,comment
64,73,What a memorable stunning journey
user_id,movie_id,comment
65,18,Innovative amazing story
user_id,movie_id,comment
70,56,Such a fun funny picture.
user_id,movie_id,comment
70,24,A good entertaining time.
user_id,movie_id,comment
70,20,Absolutely compelling journey
user_id,movie_id,comment
70,38,The most soulful magical story
user_id,movie_id,comment
70,22,A unmissiable inspiring visual.
user_id,movie_id,comment
71,37,A clever funny visual.
user_id,movie_id,comment
71,87,Innovative beautiful journey
user_id,movie_id,comment
71,49,The most soulful breathtaking story
user_id,movie_id,comment
71,66,A smooth dazzling epic.
user_id,movie_id,comment
71,80,A nice stunning picture.
user_id,movie_id,comment
72,52,very entertaining picture.
user_id,movie_id,comment
72,60,A surprisingly vibrant funny time.
user_id,movie_id,comment
72,84,The most stunning visual.
user_id,movie_id,comment
72,83,What a memorable brilliant epic.
user_id,movie_id,comment
72,0,Innovative emotional visual.
user_id,movie_id,comment
73,37,A clever stunning time.
user_id,movie_id,comment
73,86,A unmissiable brilliant experience.
user_id,movie_id,comment
73,39,The most emotional time.
user_id,movie_id,comment
74,26,Such a fun funny epic.
user_id,movie_id,comment
75,41,Innovative funny flick.
user_id,movie_id,comment
75,93,"A colorful, vibrant inspiring epic."
user_id,movie_id,comment
75,56,Creative passionate epic.
user_id,movie_id,comment
75,87,Innovative bold flick.
user_id,movie_id,comment
75,3,Innovative compelling picture.
user_id,movie_id,comment
76,71,The greatest magical picture.
user_id,movie_id,comment
76,15,Absolutely riveting journey
user_id,movie_id,comment
77,99,Innovative funny visual.
user_id,movie_id,comment
77,54,Innovative magical picture.
user_id,movie_id,comment
77,16,The greatest dazzling experience.
user_id,movie_id,comment
77,1,Absolutely the most breathtaking journey
user_id,movie_id,comment
77,65,What a memorable entertaining story
user_id,movie_id,comment
78,9,Absolutely entertaining epic.
user_id,movie_id,comment
78,54,Creative inspiring time.
user_id,movie_id,comment
78,52,Flawless riveting picture.
user_id,movie_id,comment
79,20,Absolutely funny journey
user_id,movie_id,comment
79,32,A smooth brilliant flick.
user_id,movie_id,comment
79,29,very magical journey
user_id,movie_id,comment
79,50,A clever thrilling time.
user_id,movie_id,comment
79,1,Creative passionate visual.
user_id,movie_id,comment
80,30,What a memorable funny picture.
user_id,movie_id,comment
80,77,A good entertaining journey
user_id,movie_id,comment
82,26,The most breathtaking story
user_id,movie_id,comment
82,42,What a memorable passionate picture.
user_id,movie_id,comment
84,34,An unforgettable compelling experience.
user_id,movie_id,comment
85,44,"A colorful, vibrant dazzling visual."
user_id,movie_id,comment
85,68,What a memorable riveting experience.
user_id,movie_id,comment
85,33,A surprisingly vibrant inspiring experience.
user_id,movie_id,comment
86,76,"A colorful, vibrant bold epic."
user_id,movie_id,comment
86,77,Flawless beautiful flick.
user_id,movie_id,comment
86,35,What a memorable breathtaking visual.
user_id,movie_id,comment
89,36,The most bold time.
user_id,movie_id,comment
89,45,Absolutely the most amazing epic.
user_id,movie_id,comment
89,48,The greatest emotional journey
user_id,movie_id,comment
89,97,A smooth emotional story
user_id,movie_id,comment
89,4,The most funny picture.
user_id,movie_id,comment
90,95,Such a fun compelling flick.
user_id,movie_id,comment
90,65,Creative thrilling epic.
user_id,movie_id,comment
93,69,very amazing journey
user_id,movie_id,comment
93,89,What a memorable stunning experience.
user_id,movie_id,comment
94,16,"A colorful, vibrant compelling time."
user_id,movie_id,comment
96,43,Flawless stunning story
user_id,movie_id,comment
96,72,The most soulful emotional story
user_id,movie_id,comment
98,53,A good awesome epic.
user_id,movie_id,comment
98,77,very awesome picture.
user_id,movie_id,comment
98,86,A good funny story
user_id,movie_id,comment
98,65,A surprisingly vibrant passionate story
user_id,movie_id,comment
98,2,A surprisingly vibrant inspiring epic.
user_id,movie_id,comment
99,5,What a memorable magical time.
user_id,movie_id,comment
99,37,Innovative awesome time.
user_id,movie_id,comment
99,35,Innovative magical journey
user_id,movie_id,comment
99,2,A surprisingly vibrant magical story
